date,day_of_week,page_loads,unique_visits,first_time_visits,returning_visits
11/19/2015,Thursday,5.656,4.166,3.487,679.0
11/20/2015,Friday,4.398,3.173,2.645,528.0
11/21/2015,Saturday,2.836,2.086,1.741,345.0
11/22/2015,Sunday,3.896,2.927,2.424,503.0
11/23/2015,Monday,5.814,4.236,3.543,693.0
11/24/2015,Tuesday,5.879,4.14,3.475,665.0
11/25/2015,Wednesday,4.8,3.457,2.836,621.0
11/26/2015,Thursday,3.838,2.825,2.334,491.0
11/27/2015,Friday,3.576,2.579,2.118,461.0
11/28/2015,Saturday,2.799,1.974,1.652,322.0
11/29/2015,Sunday,4.228,3.127,2.605,522.0
11/30/2015,Monday,6.331,4.57,3.817,753.0
12/1/2015,Tuesday,6.38,4.743,4.027,716.0
12/2/2015,Wednesday,6.314,4.829,4.039,790.0
12/3/2015,Thursday,6.16,4.584,3.835,749.0
12/4/2015,Friday,4.859,3.615,2.995,620.0
12/5/2015,Saturday,3.317,2.468,2.04,428.0
12/6/2015,Sunday,4.715,3.55,2.972,578.0
12/7/2015,Monday,6.94,5.136,4.303,833.0
12/8/2015,Tuesday,6.551,4.866,4.068,798.0
12/9/2015,Wednesday,6.327,4.761,3.961,800.0
12/10/2015,Thursday,6.212,4.578,3.83,748.0
12/11/2015,Friday,4.687,3.388,2.771,617.0
12/12/2015,Saturday,3.014,2.283,1.856,427.0
12/13/2015,Sunday,4.132,3.064,2.548,516.0
12/14/2015,Monday,5.989,4.33,3.606,724.0
12/15/2015,Tuesday,5.331,3.967,3.309,658.0
12/16/2015,Wednesday,5.183,3.665,3.025,640.0
12/17/2015,Thursday,4.769,3.515,2.917,598.0
12/18/2015,Friday,3.627,2.518,2.071,447.0
12/19/2015,Saturday,1.857,1.319,1.087,232.0
12/20/2015,Sunday,2.221,1.489,1.204,285.0
12/21/2015,Monday,3.335,2.335,1.906,429.0
12/22/2015,Tuesday,2.883,2.047,1.639,408.0
12/23/2015,Wednesday,2.353,1.621,1.312,309.0
12/24/2015,Thursday,1.578,1.099,886.0,213.0
12/25/2015,Friday,1.017,724.0,586.0,138.0
12/26/2015,Saturday,1.334,936.0,760.0,176.0
12/27/2015,Sunday,1.69,1.155,947.0,208.0
12/28/2015,Monday,2.838,1.829,1.474,355.0
12/29/2015,Tuesday,2.815,1.786,1.419,367.0
12/30/2015,Wednesday,2.382,1.618,1.292,326.0
12/31/2015,Thursday,1.587,1.035,809.0,226.0
1/1/2016,Friday,1.411,960.0,786.0,174.0
1/2/2016,Saturday,1.838,1.197,969.0,228.0
1/3/2016,Sunday,2.18,1.562,1.279,283.0
1/4/2016,Monday,3.587,2.494,2.037,457.0
1/5/2016,Tuesday,3.855,2.742,2.23,512.0
1/6/2016,Wednesday,3.84,2.628,2.127,501.0
1/7/2016,Thursday,3.735,2.746,2.258,488.0
1/8/2016,Friday,3.223,2.286,1.86,426.0
1/9/2016,Saturday,2.207,1.531,1.28,251.0
1/10/2016,Sunday,2.814,2.0,1.661,339.0
1/11/2016,Monday,4.007,2.976,2.444,532.0
1/12/2016,Tuesday,4.119,2.961,2.385,576.0
1/13/2016,Wednesday,4.338,3.164,2.631,533.0
1/14/2016,Thursday,4.432,2.962,2.418,544.0
1/15/2016,Friday,3.306,2.349,1.866,483.0
1/16/2016,Saturday,2.223,1.557,1.262,295.0
1/17/2016,Sunday,2.757,2.002,1.635,367.0
1/18/2016,Monday,4.047,2.898,2.373,525.0
1/19/2016,Tuesday,4.489,3.19,2.566,624.0
1/20/2016,Wednesday,4.588,3.232,2.656,576.0
1/21/2016,Thursday,4.398,3.106,2.561,545.0
1/22/2016,Friday,3.34,2.455,1.99,465.0
1/23/2016,Saturday,2.344,1.639,1.338,301.0
1/24/2016,Sunday,2.973,2.094,1.736,358.0
1/25/2016,Monday,4.638,3.205,2.649,556.0
1/26/2016,Tuesday,4.791,3.409,2.834,575.0
1/27/2016,Wednesday,5.104,3.768,3.197,571.0
1/28/2016,Thursday,4.621,3.439,2.876,563.0
1/29/2016,Friday,3.831,2.715,2.232,483.0
1/30/2016,Saturday,2.295,1.69,1.4,290.0
1/31/2016,Sunday,3.235,2.462,2.05,412.0
2/1/2016,Monday,4.918,3.64,3.06,580.0
2/2/2016,Tuesday,5.127,3.783,3.195,588.0
2/3/2016,Wednesday,4.794,3.575,2.999,576.0
2/4/2016,Thursday,4.788,3.42,2.848,572.0
2/5/2016,Friday,3.948,2.727,2.256,471.0
2/6/2016,Saturday,2.383,1.765,1.477,288.0
2/7/2016,Sunday,2.95,2.231,1.839,392.0
2/8/2016,Monday,4.905,3.592,3.024,568.0
2/9/2016,Tuesday,5.353,3.931,3.299,632.0
2/10/2016,Wednesday,5.492,4.007,3.358,649.0
2/11/2016,Thursday,5.052,3.628,3.019,609.0
2/12/2016,Friday,3.764,2.807,2.3,507.0
2/13/2016,Saturday,2.458,1.788,1.459,329.0
2/14/2016,Sunday,3.098,2.277,1.866,411.0
2/15/2016,Monday,4.951,3.652,3.039,613.0
2/16/2016,Tuesday,5.495,4.0,3.304,696.0
2/17/2016,Wednesday,5.505,4.062,3.375,687.0
2/18/2016,Thursday,5.188,3.812,3.156,656.0
2/19/2016,Friday,4.002,2.932,2.377,555.0
2/20/2016,Saturday,2.607,1.888,1.537,351.0
2/21/2016,Sunday,3.906,2.838,2.355,483.0
2/22/2016,Monday,6.36,4.432,3.684,748.0
2/23/2016,Tuesday,6.046,4.46,3.714,746.0
2/24/2016,Wednesday,5.938,4.309,3.499,810.0
2/25/2016,Thursday,5.325,3.892,3.199,693.0
2/26/2016,Friday,4.165,3.048,2.49,558.0
2/27/2016,Saturday,2.829,2.096,1.726,370.0
2/28/2016,Sunday,4.09,2.979,2.462,517.0
2/29/2016,Monday,5.734,4.224,3.493,731.0
3/1/2016,Tuesday,6.214,4.474,3.731,743.0
3/2/2016,Wednesday,5.906,4.333,3.597,736.0
3/3/2016,Thursday,5.814,4.191,3.419,772.0
3/4/2016,Friday,4.507,3.188,2.624,564.0
3/5/2016,Saturday,2.859,2.064,1.718,346.0
3/6/2016,Sunday,3.897,2.806,2.326,480.0
3/7/2016,Monday,5.849,4.24,3.503,737.0
3/8/2016,Tuesday,6.264,4.526,3.743,783.0
3/9/2016,Wednesday,6.062,4.404,3.624,780.0
3/10/2016,Thursday,5.685,4.159,3.415,744.0
3/11/2016,Friday,4.391,3.241,2.627,614.0
3/12/2016,Saturday,2.88,2.046,1.638,408.0
3/13/2016,Sunday,3.74,2.673,2.163,510.0
3/14/2016,Monday,5.71,4.261,3.469,792.0
3/15/2016,Tuesday,5.168,3.778,3.047,731.0
3/16/2016,Wednesday,5.577,4.062,3.287,775.0
3/17/2016,Thursday,5.238,3.827,3.134,693.0
3/18/2016,Friday,3.931,2.871,2.32,551.0
3/19/2016,Saturday,2.606,1.892,1.568,324.0
3/20/2016,Sunday,3.149,2.41,2.028,382.0
3/21/2016,Monday,5.565,3.968,3.274,694.0
3/22/2016,Tuesday,5.281,3.77,3.035,735.0
3/23/2016,Wednesday,5.202,3.78,3.146,634.0
3/24/2016,Thursday,4.581,3.203,2.649,554.0
3/25/2016,Friday,3.264,2.281,1.847,434.0
3/26/2016,Saturday,2.344,1.759,1.393,366.0
3/27/2016,Sunday,3.112,2.311,1.89,421.0
3/28/2016,Monday,5.051,3.655,2.985,670.0
3/29/2016,Tuesday,5.333,3.944,3.217,727.0
3/30/2016,Wednesday,5.671,4.078,3.369,709.0
3/31/2016,Thursday,5.097,3.707,3.026,681.0
4/1/2016,Friday,4.555,2.971,2.408,563.0
4/2/2016,Saturday,2.987,2.129,1.737,392.0
4/3/2016,Sunday,4.257,2.964,2.421,543.0
4/4/2016,Monday,5.804,4.216,3.426,790.0
4/5/2016,Tuesday,5.885,4.379,3.597,782.0
4/6/2016,Wednesday,6.054,4.293,3.522,771.0
4/7/2016,Thursday,5.791,4.147,3.422,725.0
4/8/2016,Friday,4.741,3.43,2.82,610.0
4/9/2016,Saturday,2.946,2.14,1.74,400.0
4/10/2016,Sunday,4.071,2.864,2.33,534.0
4/11/2016,Monday,6.265,4.503,3.667,836.0
4/12/2016,Tuesday,6.298,4.626,3.769,857.0
4/13/2016,Wednesday,6.495,4.628,3.791,837.0
4/14/2016,Thursday,5.536,4.189,3.431,758.0
4/15/2016,Friday,4.737,3.447,2.785,662.0
4/16/2016,Saturday,3.232,2.333,1.862,471.0
4/17/2016,Sunday,4.201,3.093,2.504,589.0
4/18/2016,Monday,6.806,4.769,3.92,849.0
4/19/2016,Tuesday,6.769,4.817,3.94,877.0
4/20/2016,Wednesday,6.581,4.824,3.926,898.0
4/21/2016,Thursday,6.254,4.537,3.707,830.0
4/22/2016,Friday,5.163,3.685,3.009,676.0
4/23/2016,Saturday,3.851,2.595,2.113,482.0
4/24/2016,Sunday,4.695,3.386,2.761,625.0
4/25/2016,Monday,7.098,5.224,4.237,987.0
4/26/2016,Tuesday,7.156,5.392,4.468,924.0
4/27/2016,Wednesday,6.836,5.056,4.13,926.0
4/28/2016,Thursday,6.329,4.724,3.892,832.0
4/29/2016,Friday,4.99,3.608,2.922,686.0
4/30/2016,Saturday,3.536,2.489,1.993,496.0
5/1/2016,Sunday,4.366,3.236,2.605,631.0
5/2/2016,Monday,6.51,4.786,3.909,877.0
5/3/2016,Tuesday,6.855,4.962,4.085,877.0
5/4/2016,Wednesday,6.599,4.651,3.744,907.0
5/5/2016,Thursday,5.51,4.105,3.375,730.0
5/6/2016,Friday,4.549,3.245,2.639,606.0
5/7/2016,Saturday,3.064,2.167,1.76,407.0
5/8/2016,Sunday,3.633,2.663,2.18,483.0
5/9/2016,Monday,5.838,4.283,3.489,794.0
5/10/2016,Tuesday,6.026,4.336,3.581,755.0
5/11/2016,Wednesday,5.78,4.226,3.479,747.0
5/12/2016,Thursday,5.131,3.781,3.101,680.0
5/13/2016,Friday,3.928,2.845,2.294,551.0
5/14/2016,Saturday,2.636,1.93,1.552,378.0
5/15/2016,Sunday,3.278,2.366,1.922,444.0
5/16/2016,Monday,4.785,3.56,2.882,678.0
5/17/2016,Tuesday,4.886,3.601,2.914,687.0
5/18/2016,Wednesday,5.145,3.672,2.987,685.0
5/19/2016,Thursday,5.849,4.211,3.484,727.0
5/20/2016,Friday,4.456,3.324,2.725,599.0
5/21/2016,Saturday,2.96,2.138,1.716,422.0
5/22/2016,Sunday,3.885,2.86,2.338,522.0
5/23/2016,Monday,5.857,4.155,3.368,787.0
5/24/2016,Tuesday,6.162,4.345,3.526,819.0
5/25/2016,Wednesday,6.014,4.254,3.398,856.0
5/26/2016,Thursday,5.652,4.119,3.385,734.0
5/27/2016,Friday,4.793,3.34,2.692,648.0
5/28/2016,Saturday,2.819,1.995,1.611,384.0
5/29/2016,Sunday,3.687,2.546,2.067,479.0
5/30/2016,Monday,4.851,3.399,2.701,698.0
5/31/2016,Tuesday,5.775,4.216,3.413,803.0
6/1/2016,Wednesday,5.443,3.962,3.193,769.0
6/2/2016,Thursday,5.59,3.959,3.176,783.0
6/3/2016,Friday,4.482,3.164,2.489,675.0
6/4/2016,Saturday,2.792,1.947,1.533,414.0
6/5/2016,Sunday,3.371,2.449,1.979,470.0
6/6/2016,Monday,5.547,3.832,3.036,796.0
6/7/2016,Tuesday,5.468,3.954,3.226,728.0
6/8/2016,Wednesday,5.104,3.751,3.064,687.0
6/9/2016,Thursday,4.728,3.485,2.812,673.0
6/10/2016,Friday,4.024,2.855,2.29,565.0
6/11/2016,Saturday,2.35,1.677,1.348,329.0
6/12/2016,Sunday,3.234,2.196,1.779,417.0
6/13/2016,Monday,4.948,3.55,2.79,760.0
6/14/2016,Tuesday,5.247,3.76,3.052,708.0
6/15/2016,Wednesday,5.003,3.557,2.81,747.0
6/16/2016,Thursday,4.816,3.482,2.775,707.0
6/17/2016,Friday,4.208,2.818,2.267,551.0
6/18/2016,Saturday,2.454,1.668,1.357,311.0
6/19/2016,Sunday,2.763,1.919,1.506,413.0
6/20/2016,Monday,4.954,3.522,2.829,693.0
6/21/2016,Tuesday,4.903,3.47,2.793,677.0
6/22/2016,Wednesday,4.907,3.464,2.772,692.0
6/23/2016,Thursday,4.625,3.336,2.669,667.0
6/24/2016,Friday,3.497,2.482,1.947,535.0
6/25/2016,Saturday,1.826,1.358,1.101,257.0
6/26/2016,Sunday,2.307,1.721,1.356,365.0
6/27/2016,Monday,4.368,3.078,2.433,645.0
6/28/2016,Tuesday,4.233,3.091,2.466,625.0
6/29/2016,Wednesday,4.187,2.948,2.377,571.0
6/30/2016,Thursday,3.811,2.726,2.135,591.0
7/1/2016,Friday,3.179,2.226,1.73,496.0
7/2/2016,Saturday,1.615,1.039,814.0,225.0
7/3/2016,Sunday,1.788,1.307,1.028,279.0
7/4/2016,Monday,2.959,2.144,1.653,491.0
7/5/2016,Tuesday,3.947,2.84,2.235,605.0
7/6/2016,Wednesday,3.841,2.821,2.248,573.0
7/7/2016,Thursday,3.729,2.7,2.148,552.0
7/8/2016,Friday,3.324,2.381,1.891,490.0
7/9/2016,Saturday,1.795,1.305,1.036,269.0
7/10/2016,Sunday,2.373,1.655,1.321,334.0
7/11/2016,Monday,4.101,2.855,2.208,647.0
7/12/2016,Tuesday,4.241,2.96,2.352,608.0
7/13/2016,Wednesday,4.478,3.189,2.578,611.0
7/14/2016,Thursday,3.961,2.814,2.214,600.0
7/15/2016,Friday,3.367,2.325,1.796,529.0
7/16/2016,Saturday,1.828,1.222,951.0,271.0
7/17/2016,Sunday,2.344,1.636,1.319,317.0
7/18/2016,Monday,4.415,3.007,2.382,625.0
7/19/2016,Tuesday,4.403,3.151,2.502,649.0
7/20/2016,Wednesday,4.244,3.082,2.45,632.0
7/21/2016,Thursday,4.322,3.077,2.404,673.0
7/22/2016,Friday,3.456,2.431,1.936,495.0
7/23/2016,Saturday,2.068,1.407,1.099,308.0
7/24/2016,Sunday,2.568,1.755,1.374,381.0
7/25/2016,Monday,4.77,3.32,2.628,692.0
7/26/2016,Tuesday,4.621,3.277,2.595,682.0
7/27/2016,Wednesday,4.47,3.164,2.513,651.0
7/28/2016,Thursday,4.307,3.077,2.459,618.0
7/29/2016,Friday,3.37,2.366,1.818,548.0
7/30/2016,Saturday,1.96,1.341,1.017,324.0
7/31/2016,Sunday,2.412,1.765,1.423,342.0
8/1/2016,Monday,4.504,3.095,2.489,606.0
8/2/2016,Tuesday,4.382,3.138,2.499,639.0
8/3/2016,Wednesday,4.71,3.369,2.697,672.0
8/4/2016,Thursday,4.324,3.106,2.479,627.0
8/5/2016,Friday,3.472,2.497,1.98,517.0
8/6/2016,Saturday,1.909,1.339,1.081,258.0
8/7/2016,Sunday,2.365,1.688,1.334,354.0
8/8/2016,Monday,4.46,3.056,2.438,618.0
8/9/2016,Tuesday,4.479,3.135,2.482,653.0
8/10/2016,Wednesday,4.51,3.207,2.55,657.0
8/11/2016,Thursday,4.34,3.111,2.491,620.0
8/12/2016,Friday,3.508,2.436,1.933,503.0
8/13/2016,Saturday,2.03,1.42,1.122,298.0
8/14/2016,Sunday,2.586,1.749,1.399,350.0
8/15/2016,Monday,4.476,2.97,2.346,624.0
8/16/2016,Tuesday,3.232,2.299,1.823,476.0
8/17/2016,Wednesday,4.291,3.106,2.498,608.0
8/18/2016,Thursday,4.247,2.926,2.327,599.0
8/19/2016,Friday,3.477,2.539,2.045,494.0
8/20/2016,Saturday,2.169,1.47,1.169,301.0
8/21/2016,Sunday,2.43,1.808,1.453,355.0
8/22/2016,Monday,4.358,3.082,2.439,643.0
8/23/2016,Tuesday,4.465,3.249,2.55,699.0
8/24/2016,Wednesday,4.55,3.21,2.615,595.0
8/25/2016,Thursday,4.147,3.011,2.38,631.0
8/26/2016,Friday,3.634,2.532,2.0,532.0
8/27/2016,Saturday,2.014,1.43,1.141,289.0
8/28/2016,Sunday,2.687,1.91,1.555,355.0
8/29/2016,Monday,4.376,3.115,2.521,594.0
8/30/2016,Tuesday,4.318,3.226,2.622,604.0
8/31/2016,Wednesday,4.441,3.219,2.62,599.0
9/1/2016,Thursday,4.234,3.116,2.556,560.0
9/2/2016,Friday,3.027,2.23,1.762,468.0
9/3/2016,Saturday,1.966,1.376,1.101,275.0
9/4/2016,Sunday,2.446,1.761,1.452,309.0
9/5/2016,Monday,3.779,2.643,2.145,498.0
9/6/2016,Tuesday,4.619,3.341,2.727,614.0
9/7/2016,Wednesday,4.983,3.584,2.925,659.0
9/8/2016,Thursday,4.645,3.319,2.716,603.0
9/9/2016,Friday,3.612,2.63,2.139,491.0
9/10/2016,Saturday,2.153,1.577,1.323,254.0
9/11/2016,Sunday,3.089,2.307,1.978,329.0
9/12/2016,Monday,4.58,3.446,2.882,564.0
9/13/2016,Tuesday,4.788,3.625,2.992,633.0
9/14/2016,Wednesday,5.095,3.759,3.113,646.0
9/15/2016,Thursday,4.668,3.454,2.86,594.0
9/16/2016,Friday,3.711,2.785,2.272,513.0
9/17/2016,Saturday,2.523,1.861,1.577,284.0
9/18/2016,Sunday,3.364,2.547,2.122,425.0
9/19/2016,Monday,5.513,4.05,3.321,729.0
9/20/2016,Tuesday,5.362,3.762,3.095,667.0
9/21/2016,Wednesday,5.402,3.987,3.293,694.0
9/22/2016,Thursday,5.398,3.996,3.299,697.0
9/23/2016,Friday,3.783,2.663,2.134,529.0
9/24/2016,Saturday,2.395,1.797,1.503,294.0
9/25/2016,Sunday,3.679,2.719,2.289,430.0
9/26/2016,Monday,5.688,4.325,3.57,755.0
9/27/2016,Tuesday,5.842,4.382,3.645,737.0
9/28/2016,Wednesday,5.923,4.458,3.682,776.0
9/29/2016,Thursday,5.717,4.222,3.487,735.0
9/30/2016,Friday,4.25,3.176,2.565,611.0
10/1/2016,Saturday,2.525,1.986,1.656,330.0
10/2/2016,Sunday,3.923,3.023,2.559,464.0
10/3/2016,Monday,5.785,4.281,3.545,736.0
10/4/2016,Tuesday,6.052,4.522,3.78,742.0
10/5/2016,Wednesday,6.15,4.588,3.814,774.0
10/6/2016,Thursday,5.591,4.134,3.419,715.0
10/7/2016,Friday,4.279,3.196,2.616,580.0
10/8/2016,Saturday,2.897,2.066,1.717,349.0
10/9/2016,Sunday,3.904,2.873,2.374,499.0
10/10/2016,Monday,5.458,4.145,3.442,703.0
10/11/2016,Tuesday,5.909,4.399,3.685,714.0
10/12/2016,Wednesday,6.175,4.62,3.823,797.0
10/13/2016,Thursday,5.856,4.422,3.581,841.0
10/14/2016,Friday,4.61,3.505,2.837,668.0
10/15/2016,Saturday,3.081,2.269,1.864,405.0
10/16/2016,Sunday,4.39,3.265,2.718,547.0
10/17/2016,Monday,6.507,4.917,4.018,899.0
10/18/2016,Tuesday,6.941,5.103,4.189,914.0
10/19/2016,Wednesday,6.576,4.776,3.961,815.0
10/20/2016,Thursday,5.985,4.462,3.701,761.0
10/21/2016,Friday,4.789,3.497,2.84,657.0
10/22/2016,Saturday,3.263,2.292,1.881,411.0
10/23/2016,Sunday,4.18,3.135,2.561,574.0
10/24/2016,Monday,6.371,4.865,3.993,872.0
10/25/2016,Tuesday,6.648,4.96,4.07,890.0
10/26/2016,Wednesday,6.501,4.777,3.88,897.0
10/27/2016,Thursday,6.088,4.431,3.574,857.0
10/28/2016,Friday,4.376,3.179,2.51,669.0
10/29/2016,Saturday,2.733,1.955,1.549,406.0
10/30/2016,Sunday,3.953,2.921,2.344,577.0
10/31/2016,Monday,6.108,4.416,3.563,853.0
11/1/2016,Tuesday,5.668,4.185,3.36,825.0
11/2/2016,Wednesday,6.159,4.508,3.663,845.0
11/3/2016,Thursday,5.81,4.241,3.426,815.0
11/4/2016,Friday,4.491,3.394,2.67,724.0
11/5/2016,Saturday,3.11,2.263,1.842,421.0
11/6/2016,Sunday,4.418,3.281,2.713,568.0
11/7/2016,Monday,6.529,4.488,3.573,915.0
11/8/2016,Tuesday,5.756,4.251,3.437,814.0
11/9/2016,Wednesday,5.716,4.102,3.315,787.0
11/10/2016,Thursday,5.323,4.022,3.246,776.0
11/11/2016,Friday,4.28,3.085,2.441,644.0
11/12/2016,Saturday,2.982,2.169,1.777,392.0
11/13/2016,Sunday,4.365,3.172,2.595,577.0
11/14/2016,Monday,6.627,4.888,3.942,946.0
11/15/2016,Tuesday,6.467,4.808,3.905,903.0
11/16/2016,Wednesday,6.631,4.903,3.984,919.0
11/17/2016,Thursday,6.378,4.681,3.779,902.0
11/18/2016,Friday,4.767,3.424,2.734,690.0
11/19/2016,Saturday,3.501,2.58,2.136,444.0
11/20/2016,Sunday,4.647,3.426,2.777,649.0
11/21/2016,Monday,6.336,4.693,3.788,905.0
11/22/2016,Tuesday,6.222,4.564,3.646,918.0
11/23/2016,Wednesday,5.527,3.904,3.082,822.0
11/24/2016,Thursday,4.267,3.197,2.561,636.0
11/25/2016,Friday,3.733,2.678,2.135,543.0
11/26/2016,Saturday,3.299,2.394,1.907,487.0
11/27/2016,Sunday,4.53,3.396,2.722,674.0
11/28/2016,Monday,6.908,5.047,4.167,880.0
11/29/2016,Tuesday,7.714,5.338,4.369,969.0
11/30/2016,Wednesday,7.49,5.425,4.389,1.036
12/1/2016,Thursday,7.19,5.081,4.12,961.0
12/2/2016,Friday,5.391,3.977,3.171,806.0
12/3/2016,Saturday,3.575,2.667,2.178,489.0
12/4/2016,Sunday,5.285,4.031,3.247,784.0
12/5/2016,Monday,7.33,5.439,4.452,987.0
12/6/2016,Tuesday,7.489,5.479,4.5,979.0
12/7/2016,Wednesday,7.345,5.467,4.469,998.0
12/8/2016,Thursday,6.679,4.991,3.998,993.0
12/9/2016,Friday,5.403,3.97,3.19,780.0
12/10/2016,Saturday,3.573,2.712,2.203,509.0
12/11/2016,Sunday,4.834,3.515,2.838,677.0
12/12/2016,Monday,6.905,4.945,3.988,957.0
12/13/2016,Tuesday,6.743,4.927,3.942,985.0
12/14/2016,Wednesday,6.201,4.488,3.593,895.0
12/15/2016,Thursday,5.571,4.071,3.229,842.0
12/16/2016,Friday,3.872,2.78,2.191,589.0
12/17/2016,Saturday,2.613,1.884,1.48,404.0
12/18/2016,Sunday,3.109,2.293,1.853,440.0
12/19/2016,Monday,4.324,3.145,2.477,668.0
12/20/2016,Tuesday,4.226,3.064,2.339,725.0
12/21/2016,Wednesday,3.991,2.914,2.278,636.0
12/22/2016,Thursday,3.16,2.211,1.728,483.0
12/23/2016,Friday,2.386,1.626,1.257,369.0
12/24/2016,Saturday,1.115,825.0,634.0,191.0
12/25/2016,Sunday,1.387,930.0,740.0,190.0
12/26/2016,Monday,2.147,1.418,1.142,276.0
12/27/2016,Tuesday,2.686,1.777,1.349,428.0
12/28/2016,Wednesday,2.885,1.915,1.476,439.0
12/29/2016,Thursday,2.694,1.837,1.4,437.0
12/30/2016,Friday,2.273,1.541,1.164,377.0
12/31/2016,Saturday,1.188,836.0,643.0,193.0
1/1/2017,Sunday,1.447,1.039,832.0,207.0
1/2/2017,Monday,2.568,1.844,1.448,396.0
1/3/2017,Tuesday,3.566,2.527,1.97,557.0
1/4/2017,Wednesday,3.941,2.816,2.226,590.0
1/5/2017,Thursday,3.841,2.625,2.058,567.0
1/6/2017,Friday,3.261,2.338,1.812,526.0
1/7/2017,Saturday,2.241,1.523,1.204,319.0
1/8/2017,Sunday,2.679,1.892,1.519,373.0
1/9/2017,Monday,4.182,2.841,2.191,650.0
1/10/2017,Tuesday,4.236,3.039,2.391,648.0
1/11/2017,Wednesday,4.628,3.206,2.536,670.0
1/12/2017,Thursday,4.205,3.025,2.403,622.0
1/13/2017,Friday,3.459,2.508,2.033,475.0
1/14/2017,Saturday,2.448,1.744,1.39,354.0
1/15/2017,Sunday,2.853,2.015,1.586,429.0
1/16/2017,Monday,4.638,3.178,2.543,635.0
1/17/2017,Tuesday,5.325,3.669,2.942,727.0
1/18/2017,Wednesday,4.866,3.364,2.67,694.0
1/19/2017,Thursday,4.715,3.375,2.689,686.0
1/20/2017,Friday,3.753,2.713,2.136,577.0
1/21/2017,Saturday,2.481,1.778,1.437,341.0
1/22/2017,Sunday,3.233,2.401,1.981,420.0
1/23/2017,Monday,5.034,3.66,2.957,703.0
1/24/2017,Tuesday,4.787,3.593,2.909,684.0
